Czas,Tetno_BPM
2026-02-05 20:32:55,0.0
2026-02-05 20:32:55,0.0
2026-02-05 20:32:56,0.0
2026-02-05 20:32:56,181.82
2026-02-05 20:32:57,131.58
2026-02-05 20:32:58,95.54
2026-02-05 20:32:59,70.42
2026-02-05 20:33:00,60.73
2026-02-05 20:33:01,60.61
2026-02-05 20:33:02,61.73
2026-02-05 20:33:03,61.48
2026-02-05 20:33:04,61.22
2026-02-05 20:33:05,60.36
2026-02-05 20:33:06,62.89
2026-02-05 20:33:06,65.65
2026-02-05 20:33:07,90.36
2026-02-05 20:33:07,102.74
2026-02-05 20:33:08,92.88
2026-02-05 20:33:09,102.39
2026-02-05 20:33:09,92.59
2026-02-05 20:33:10,86.71
2026-02-05 20:33:11,94.34
2026-02-05 20:33:11,95.85
2026-02-05 20:33:12,96.77
2026-02-05 20:33:13,76.34
2026-02-05 20:33:14,65.22
2026-02-05 20:33:15,63.83
2026-02-05 20:33:16,65.79
2026-02-05 20:33:16,68.97
2026-02-05 20:33:17,69.44
2026-02-05 20:33:18,66.23
2026-02-05 20:33:19,65.93
2026-02-05 20:33:20,68.81
2026-02-05 20:33:21,72.12
2026-02-05 20:33:22,71.6
2026-02-05 20:33:22,94.04
2026-02-05 20:33:23,100.0
2026-02-05 20:33:24,96.77
2026-02-05 20:33:24,75.95
2026-02-05 20:33:25,68.03
2026-02-05 20:33:26,90.63
2026-02-05 20:33:26,96.46
2026-02-05 20:33:27,93.75
2026-02-05 20:33:28,75.76
2026-02-05 20:33:29,69.12
2026-02-05 20:33:30,68.49
2026-02-05 20:33:31,68.97
2026-02-05 20:33:31,70.59
2026-02-05 20:33:32,70.59
2026-02-05 20:33:33,95.24
2026-02-05 20:33:33,102.39
2026-02-05 20:33:34,100.0
2026-02-05 20:33:35,76.34
2026-02-05 20:33:36,66.23
2026-02-05 20:33:37,64.24
2026-02-05 20:33:38,66.23
2026-02-05 20:33:39,69.61
2026-02-05 20:33:39,70.59
2026-02-05 20:33:40,68.97
2026-02-05 20:33:41,68.34
2026-02-05 20:33:42,68.81
2026-02-05 20:33:43,67.87
2026-02-05 20:33:43,90.63
2026-02-05 20:33:44,95.54
2026-02-05 20:33:45,94.94
2026-02-05 20:33:46,74.07
2026-02-05 20:33:47,66.37
2026-02-05 20:33:47,65.79
2026-02-05 20:33:48,67.57
2026-02-05 20:33:49,68.03
2026-02-05 20:33:50,65.65
2026-02-05 20:33:51,86.71
2026-02-05 20:33:51,97.72
2026-02-05 20:33:52,101.35
2026-02-05 20:33:52,109.09
2026-02-05 20:33:53,104.9
2026-02-05 20:33:54,91.74
2026-02-05 20:33:55,72.12
2026-02-05 20:33:55,83.1
2026-02-05 20:33:56,103.45
2026-02-05 20:33:56,102.04
2026-02-05 20:33:57,81.74
2026-02-05 20:33:58,94.04
2026-02-05 20:33:58,101.01
2026-02-05 20:33:59,96.77
2026-02-05 20:34:00,77.52
2026-02-05 20:34:01,68.97
2026-02-05 20:34:02,67.42
2026-02-05 20:34:03,67.42
2026-02-05 20:34:03,68.97
2026-02-05 20:34:04,68.34
2026-02-05 20:34:05,66.37
2026-02-05 20:34:06,65.93
2026-02-05 20:34:07,69.28
2026-02-05 20:34:07,94.94
2026-02-05 20:34:08,111.94
2026-02-05 20:34:09,96.46
2026-02-05 20:34:09,107.14
2026-02-05 20:34:10,97.09
2026-02-05 20:34:10,98.04
2026-02-05 20:34:11,107.14
2026-02-05 20:34:11,107.91
2026-02-05 20:34:12,154.64
2026-02-05 20:34:12,131.0
2026-02-05 20:34:13,106.38
2026-02-05 20:34:14,87.21
2026-02-05 20:34:15,75.95
2026-02-05 20:34:15,98.36
2026-02-05 20:34:15,112.78
2026-02-05 20:34:16,111.94
2026-02-05 20:34:17,87.21
2026-02-05 20:34:18,73.17
2026-02-05 20:34:19,68.97
2026-02-05 20:34:20,68.97
