Czas,Tetno_BPM
2026-02-05 20:35:49,0.0
2026-02-05 20:35:50,0.0
2026-02-05 20:35:51,0.0
2026-02-05 20:35:51,111.11
2026-02-05 20:35:51,132.16
2026-02-05 20:35:52,114.5
2026-02-05 20:35:53,103.81
2026-02-05 20:35:53,92.31
2026-02-05 20:35:54,87.72
2026-02-05 20:35:56,59.88
2026-02-05 20:35:57,47.92
2026-02-05 20:35:58,52.26
2026-02-05 20:35:58,65.36
2026-02-05 20:35:59,81.08
2026-02-05 20:36:00,90.36
2026-02-05 20:36:00,120.0
2026-02-05 20:36:00,169.49
2026-02-05 20:36:01,178.57
2026-02-05 20:36:01,187.5
2026-02-05 20:36:01,200.0
2026-02-05 20:36:01,252.1
2026-02-05 20:36:02,135.75
2026-02-05 20:36:03,96.46
2026-02-05 20:36:04,77.12
2026-02-05 20:36:05,71.26
2026-02-05 20:36:05,75.0
2026-02-05 20:36:06,74.81
2026-02-05 20:36:07,77.12
2026-02-05 20:36:08,74.81
2026-02-05 20:36:08,86.71
2026-02-05 20:36:09,120.0
2026-02-05 20:36:09,172.41
2026-02-05 20:36:09,163.04
2026-02-05 20:36:10,108.7
2026-02-05 20:36:11,117.19
2026-02-05 20:36:11,113.21
2026-02-05 20:36:12,104.53
2026-02-05 20:36:12,104.9
2026-02-05 20:36:13,118.58
2026-02-05 20:36:13,114.5
2026-02-05 20:36:14,99.01
2026-02-05 20:36:15,76.73
2026-02-05 20:36:16,74.07
2026-02-05 20:36:16,99.01
2026-02-05 20:36:16,164.84
2026-02-05 20:36:17,215.83
2026-02-05 20:36:17,218.98
2026-02-05 20:36:17,156.25
2026-02-05 20:36:18,149.25
2026-02-05 20:36:18,157.07
2026-02-05 20:36:19,120.0
2026-02-05 20:36:19,187.5
2026-02-05 20:36:20,73.17
2026-02-05 20:36:21,103.45
2026-02-05 20:36:21,80.65
2026-02-05 20:36:22,112.36
2026-02-05 20:36:23,82.19
2026-02-05 20:36:23,98.68
2026-02-05 20:36:23,122.95
2026-02-05 20:36:24,131.58
2026-02-05 20:36:25,104.53
2026-02-05 20:36:25,113.64
2026-02-05 20:36:25,123.97
2026-02-05 20:36:26,112.78
2026-02-05 20:36:27,94.04
2026-02-05 20:36:27,91.46
2026-02-05 20:36:28,116.28
2026-02-05 20:36:28,168.54
2026-02-05 20:36:28,178.57
2026-02-05 20:36:29,120.48
2026-02-05 20:36:30,90.36
2026-02-05 20:36:31,78.33
2026-02-05 20:36:31,81.52
2026-02-05 20:36:32,76.73
2026-02-05 20:36:33,81.08
2026-02-05 20:36:33,101.69
2026-02-05 20:36:34,142.86
2026-02-05 20:36:34,126.58
2026-02-05 20:36:35,97.09
2026-02-05 20:36:36,76.34
2026-02-05 20:36:37,77.52
2026-02-05 20:36:37,104.9
2026-02-05 20:36:37,119.52
2026-02-05 20:36:38,106.76
2026-02-05 20:36:39,81.3
2026-02-05 20:36:40,77.92
2026-02-05 20:36:41,76.53
2026-02-05 20:36:41,108.3
2026-02-05 20:36:41,118.11
2026-02-05 20:36:42,192.31
2026-02-05 20:36:42,135.75
2026-02-05 20:36:43,115.83
2026-02-05 20:36:44,90.09
2026-02-05 20:36:44,84.75
2026-02-05 20:36:45,79.79
2026-02-05 20:36:46,80.65
2026-02-05 20:36:46,122.95
2026-02-05 20:36:47,122.95
2026-02-05 20:36:47,116.73
2026-02-05 20:36:48,79.16
2026-02-05 20:36:48,109.09
2026-02-05 20:36:49,113.21
2026-02-05 20:36:49,234.38
2026-02-05 20:36:50,142.18
2026-02-05 20:36:50,260.87
2026-02-05 20:36:50,136.36
2026-02-05 20:36:51,116.73
2026-02-05 20:36:51,115.83
2026-02-05 20:36:52,114.94
2026-02-05 20:36:52,174.42
2026-02-05 20:36:53,138.89
2026-02-05 20:36:53,117.65
2026-02-05 20:36:54,92.59
2026-02-05 20:36:55,80.65
2026-02-05 20:36:56,77.92
2026-02-05 20:36:56,76.34
2026-02-05 20:36:57,75.57
2026-02-05 20:36:58,81.3
2026-02-05 20:36:58,109.09
2026-02-05 20:36:58,138.25
2026-02-05 20:36:59,204.08
2026-02-05 20:36:59,158.73
2026-02-05 20:37:00,115.38
2026-02-05 20:37:01,88.76
2026-02-05 20:37:01,80.65
2026-02-05 20:37:02,107.91
2026-02-05 20:37:02,121.95
2026-02-05 20:37:02,180.72
2026-02-05 20:37:03,139.53
2026-02-05 20:37:03,155.44
2026-02-05 20:37:04,127.66
2026-02-05 20:37:04,159.57
2026-02-05 20:37:05,138.25
2026-02-05 20:37:05,116.73
2026-02-05 20:37:06,89.29
2026-02-05 20:37:07,79.37
2026-02-05 20:37:08,80.21
2026-02-05 20:37:08,100.67
2026-02-05 20:37:08,130.43
2026-02-05 20:37:09,174.42
2026-02-05 20:37:09,150.75
2026-02-05 20:37:10,92.88
2026-02-05 20:37:10,109.89
2026-02-05 20:37:11,107.91
2026-02-05 20:37:11,158.73
2026-02-05 20:37:12,129.31
2026-02-05 20:37:12,154.64
2026-02-05 20:37:13,101.01
