Czas,Tetno_BPM
2026-02-05 20:27:14,0.0
2026-02-05 20:27:14,0.0
2026-02-05 20:27:15,0.0
2026-02-05 20:27:16,86.21
2026-02-05 20:27:16,99.34
2026-02-05 20:27:17,119.05
2026-02-05 20:27:18,93.46
2026-02-05 20:27:19,72.64
2026-02-05 20:27:20,61.6
2026-02-05 20:27:21,65.36
2026-02-05 20:27:21,85.96
2026-02-05 20:27:21,108.7
2026-02-05 20:27:22,156.25
2026-02-05 20:27:22,149.25
2026-02-05 20:27:23,131.0
2026-02-05 20:27:23,144.93
2026-02-05 20:27:24,97.09
2026-02-05 20:27:24,113.64
2026-02-05 20:27:25,99.34
2026-02-05 20:27:25,152.28
2026-02-05 20:27:26,144.23
2026-02-05 20:27:26,141.51
2026-02-05 20:27:27,115.38
2026-02-05 20:27:27,93.46
2026-02-05 20:27:28,81.52
2026-02-05 20:27:29,72.12
2026-02-05 20:27:30,69.61
2026-02-05 20:27:31,70.09
2026-02-05 20:27:32,73.71
2026-02-05 20:27:32,74.81
2026-02-05 20:27:33,98.36
2026-02-05 20:27:33,107.91
2026-02-05 20:27:34,105.26
2026-02-05 20:27:35,95.24
2026-02-05 20:27:35,119.52
2026-02-05 20:27:36,96.46
2026-02-05 20:27:36,128.21
2026-02-05 20:27:37,95.54
2026-02-05 20:27:37,138.25
2026-02-05 20:27:37,138.25
2026-02-05 20:27:38,212.77
2026-02-05 20:27:38,127.66
2026-02-05 20:27:39,103.09
2026-02-05 20:27:40,81.52
2026-02-05 20:27:41,84.03
2026-02-05 20:27:41,81.3
2026-02-05 20:27:42,75.57
2026-02-05 20:27:43,98.04
2026-02-05 20:27:43,103.45
2026-02-05 20:27:44,97.4
2026-02-05 20:27:45,74.44
2026-02-05 20:27:46,64.38
2026-02-05 20:27:47,62.89
2026-02-05 20:27:48,62.63
2026-02-05 20:27:49,66.82
2026-02-05 20:27:49,71.43
2026-02-05 20:27:50,81.52
2026-02-05 20:27:50,114.94
2026-02-05 20:27:51,141.51
2026-02-05 20:27:51,153.06
2026-02-05 20:27:52,89.55
2026-02-05 20:27:53,103.81
2026-02-05 20:27:53,92.02
2026-02-05 20:27:54,131.58
2026-02-05 20:27:54,114.07
2026-02-05 20:27:55,95.85
2026-02-05 20:27:55,107.53
2026-02-05 20:27:56,112.36
2026-02-05 20:27:56,162.16
2026-02-05 20:27:56,161.29
2026-02-05 20:27:57,120.48
2026-02-05 20:27:58,93.17
2026-02-05 20:27:59,74.26
2026-02-05 20:27:59,78.95
2026-02-05 20:28:00,98.68
2026-02-05 20:28:00,169.49
2026-02-05 20:28:01,160.43
2026-02-05 20:28:01,176.47
2026-02-05 20:28:01,144.93
2026-02-05 20:28:02,120.48
2026-02-05 20:28:03,96.77
2026-02-05 20:28:03,83.57
2026-02-05 20:28:04,84.27
2026-02-05 20:28:05,85.71
2026-02-05 20:28:06,83.8
2026-02-05 20:28:06,81.52
2026-02-05 20:28:07,74.81
2026-02-05 20:28:08,69.12
2026-02-05 20:28:09,63.97
2026-02-05 20:28:10,61.48
2026-02-05 20:28:11,60.36
2026-02-05 20:28:12,78.95
2026-02-05 20:28:12,93.17
2026-02-05 20:28:13,93.75
2026-02-05 20:28:14,80.65
2026-02-05 20:28:14,93.46
2026-02-05 20:28:14,125.52
2026-02-05 20:28:15,173.41
2026-02-05 20:28:15,148.51
2026-02-05 20:28:16,168.54
2026-02-05 20:28:16,121.95
2026-02-05 20:28:17,151.52
2026-02-05 20:28:17,108.7
2026-02-05 20:28:17,150.0
2026-02-05 20:28:18,116.73
2026-02-05 20:28:18,162.16
2026-02-05 20:28:19,126.58
2026-02-05 20:28:20,104.53
2026-02-05 20:28:20,113.64
2026-02-05 20:28:21,101.35
2026-02-05 20:28:21,149.25
2026-02-05 20:28:22,105.26
2026-02-05 20:28:22,138.25
2026-02-05 20:28:23,102.74
2026-02-05 20:28:24,85.71
2026-02-05 20:28:25,68.18
2026-02-05 20:28:26,63.16
2026-02-05 20:28:26,68.97
2026-02-05 20:28:27,73.71
2026-02-05 20:28:28,77.52
2026-02-05 20:28:29,75.19
2026-02-05 20:28:30,72.29
2026-02-05 20:28:30,72.29
2026-02-05 20:28:31,70.59
2026-02-05 20:28:32,68.18
2026-02-05 20:28:33,67.42
2026-02-05 20:28:34,66.67
2026-02-05 20:28:35,65.22
2026-02-05 20:28:36,66.08
2026-02-05 20:28:37,66.37
2026-02-05 20:28:38,66.82
2026-02-05 20:28:39,65.08
2026-02-05 20:28:39,63.83
2026-02-05 20:28:40,84.75
2026-02-05 20:28:40,106.01
2026-02-05 20:28:41,107.14
2026-02-05 20:28:42,83.8
2026-02-05 20:28:42,95.85
2026-02-05 20:28:43,98.36
2026-02-05 20:28:43,144.23
2026-02-05 20:28:44,108.7
2026-02-05 20:28:44,142.18
2026-02-05 20:28:45,107.53
2026-02-05 20:28:46,89.55
2026-02-05 20:28:47,71.43
2026-02-05 20:28:47,70.09
2026-02-05 20:28:48,73.35
2026-02-05 20:28:49,100.67
2026-02-05 20:28:49,110.29
2026-02-05 20:28:50,140.19
2026-02-05 20:28:50,127.12
2026-02-05 20:28:51,103.09
2026-02-05 20:28:51,90.91
2026-02-05 20:28:52,78.74
2026-02-05 20:28:53,106.76
2026-02-05 20:28:53,110.7
2026-02-05 20:28:54,98.04
2026-02-05 20:28:55,75.19
2026-02-05 20:28:56,67.26
2026-02-05 20:28:57,66.52
2026-02-05 20:28:58,65.5
2026-02-05 20:28:59,63.16
2026-02-05 20:28:59,85.23
2026-02-05 20:29:00,92.88
2026-02-05 20:29:01,92.59
2026-02-05 20:29:01,72.99
2026-02-05 20:29:02,66.08
2026-02-05 20:29:03,64.52
2026-02-05 20:29:04,63.29
2026-02-05 20:29:05,84.27
